Suchbegriff,Portal,Link,Prüfdatum,Fingerabdruck
icontrol,WIPO (Global),"https://www3.wipo.int/madrid/monitor/en/?q=%7B""searches"":[%7B""te"":""icontrol"",""fi"":""BRAND_ALL,BRAND_ALL_P"",""df"":""MARK_ALL,MARK_P"",""co"":""AND""%7D],""mode"":""simple""%7D",2026-02-13 03:12,0ee8d9a5f30408bd3c94b87f327a03ad
icontrol,EUIPO (Europa),https://euipo.europa.eu/eSearch/#advanced/trademarks/1/100/n1=MarkVerbalElementText&v1=icontrol&o1=AND&c1=CONTAINS&sf=ApplicationDate&so=desc,2026-02-13 03:12,0ee8d9a5f30408bd3c94b87f327a03ad
intcell,TM View (Europa),https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=intcell&sortColumn=applicationDate&desc=true,2026-02-13 03:12,no_results
intcell,WIPO (Global),"https://www3.wipo.int/madrid/monitor/en/?q=%7B""searches"":[%7B""te"":""intcell"",""fi"":""BRAND_ALL,BRAND_ALL_P"",""df"":""MARK_ALL,MARK_P"",""co"":""AND""%7D],""mode"":""simple""%7D",2026-02-13 03:12,no_results
intcell,EUIPO (Europa),https://euipo.europa.eu/eSearch/#advanced/trademarks/1/100/n1=MarkVerbalElementText&v1=intcell&o1=AND&c1=CONTAINS&sf=ApplicationDate&so=desc,2026-02-13 03:12,no_results
gancell,TM View (Europa),https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=gancell&sortColumn=applicationDate&desc=true,2026-02-13 03:12,no_results
gancell,WIPO (Global),"https://www3.wipo.int/madrid/monitor/en/?q=%7B""searches"":[%7B""te"":""gancell"",""fi"":""BRAND_ALL,BRAND_ALL_P"",""df"":""MARK_ALL,MARK_P"",""co"":""AND""%7D],""mode"":""simple""%7D",2026-02-13 03:12,no_results
gancell,EUIPO (Europa),https://euipo.europa.eu/eSearch/#advanced/trademarks/1/100/n1=MarkVerbalElementText&v1=gancell&o1=AND&c1=CONTAINS&sf=ApplicationDate&so=desc,2026-02-13 03:12,no_results
robcell,TM View (Europa),https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=robcell&sortColumn=applicationDate&desc=true,2026-02-13 03:12,no_results
robcell,WIPO (Global),"https://www3.wipo.int/madrid/monitor/en/?q=%7B""searches"":[%7B""te"":""robcell"",""fi"":""BRAND_ALL,BRAND_ALL_P"",""df"":""MARK_ALL,MARK_P"",""co"":""AND""%7D],""mode"":""simple""%7D",2026-02-13 03:12,no_results
robcell,EUIPO (Europa),https://euipo.europa.eu/eSearch/#advanced/trademarks/1/100/n1=MarkVerbalElementText&v1=robcell&o1=AND&c1=CONTAINS&sf=ApplicationDate&so=desc,2026-02-13 03:12,no_results
screwcam,TM View (Europa),https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=screwcam&sortColumn=applicationDate&desc=true,2026-02-13 03:12,no_results
screwcam,WIPO (Global),"https://www3.wipo.int/madrid/monitor/en/?q=%7B""searches"":[%7B""te"":""screwcam"",""fi"":""BRAND_ALL,BRAND_ALL_P"",""df"":""MARK_ALL,MARK_P"",""co"":""AND""%7D],""mode"":""simple""%7D",2026-02-13 03:12,no_results
screwcam,EUIPO (Europa),https://euipo.europa.eu/eSearch/#advanced/trademarks/1/100/n1=MarkVerbalElementText&v1=screwcam&o1=AND&c1=CONTAINS&sf=ApplicationDate&so=desc,2026-02-13 03:12,no_results
mobilecell,TM View (Europa),https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=mobilecell&sortColumn=applicationDate&desc=true,2026-02-13 03:12,no_results
mobilecell,WIPO (Global),"https://www3.wipo.int/madrid/monitor/en/?q=%7B""searches"":[%7B""te"":""mobilecell"",""fi"":""BRAND_ALL,BRAND_ALL_P"",""df"":""MARK_ALL,MARK_P"",""co"":""AND""%7D],""mode"":""simple""%7D",2026-02-13 03:12,no_results
mobilecell,EUIPO (Europa),https://euipo.europa.eu/eSearch/#advanced/trademarks/1/100/n1=MarkVerbalElementText&v1=mobilecell&o1=AND&c1=CONTAINS&sf=ApplicationDate&so=desc,2026-02-13 03:12,no_results
